"Gene_ID","Gene_Symbol","SRR9943833","SRR9943834","SRR9943835","SRR9943836","SRR9943837","SRR9943838","SRR28475464","SRR28475465","SRR28475466","SRR28475467","SRR28475468","SRR28475469"
"ENSOMYG00000061484","",0.309216,0.409117,0.173725,0.142353,0.210194,0,0,0.071569,0,0,0,0
"ENSOMYG00000061490","",0.42955,0.654987,0.525706,2.563487,3.437137,0.778101,0.037892,0.60486,0.535366,0.356268,0.318222,0.038873
"ENSOMYG00000061491","",0.195378,0,0,0,0.037115,0.065826,0.105042,0.221289,0,0,0,0
"ENSOMYG00000061494","",0.599976,0.226985,5.934129,2.032096,1.934201,1.043945,0,0,0,0,0,0
"ENSOMYG00000061495","",0.653569,0.661196,1.355753,0.433444,0.360786,0.668223,0,0.033889,0.017439,0.049229,0,0
"ENSOMYG00000061496","",0.703064,0.340534,0.322859,0,0.093087,0.154158,0.136685,0,0,0,0,0
"ENSOMYG00000061498","",8.296867,13.617881,6.116594,7.517047,7.453946,43.668518,8.283713,10.302945,25.352005,11.645707,8.954432,10.503166
"ENSOMYG00000061499","U2",0.139265,1.099441,0.353365,0.49163,0,1.125867,0,0,0,0,0,0
"ENSOMYG00000061501","",2.176266,1.066934,1.058682,0.376924,0.371203,0.756607,0.049902,0.076266,0.078896,0,0.295858,0.311637
"ENSOMYG00000061506","",6.679333,4.918627,5.171905,5.345114,3.28481,5.247809,0.494118,0,1.386274,0,0.319999,0.777778
"ENSOMYG00000061507","",1.628596,2.385052,1.88161,2.285015,1.023621,2.322964,0.122298,0,0.057356,0.027816,0.077586,0.140115
"ENSOMYG00000061514","rnf6",9.448166,11.113237,8.055821,10.459011,20.397448,26.372568,2.492185,2.192344,4.095056,0.895694,0.437321,0.956619
"ENSOMYG00000061516","",9.258064,5.346774,13.193548,9.959678,13.379032,13.540322,5.27957,4.169355,3.126344,5.846774,2.327957,3.41129
"ENSOMYG00000061519","",1.358195,0.770178,1.458109,0.525013,1.861129,0.701275,0,0.029278,0.063502,0,0.059347,0
"ENSOMYG00000061522","",369.799835,756.861206,700.010376,1061.398804,683.259583,1473.450195,9.209582,11.204786,24.066153,9.790736,7.878765,8.16048
"ENSOMYG00000061527","",2.104969,10.016445,1.440868,1.218335,0,1.13226,0,0,0,0,0.416375,0.554934
"ENSOMYG00000061528","",2.873168,1.546991,1.099345,0.966953,0.664553,1.047895,0.193099,0.075274,0.451755,0.486614,0.509006,0.209069
"ENSOMYG00000061530","",1.296293,1.816149,0.836412,1.220716,0.903818,0.831817,0.196707,0.093706,0.110008,0.128449,0.106056,0.046147
"ENSOMYG00000061535","",0.694368,1.387965,0.957468,3.235075,0.792485,4.704348,0.066518,0.073393,0.090405,0,0.029674,0.048269
"ENSOMYG00000061536","",1.380775,0.93557,0.16543,1.970358,0.49838,0.574429,0.029102,0.102826,0.029297,0.05293,0.113477,0.047059
"ENSOMYG00000061542","",0.016099,0,0.017063,0.079706,0,0.698598,0.053547,0,0,0,0,0
"ENSOMYG00000061543","",11.924883,10.823944,12.20892,20.051643,23.426447,23.970266,12.146322,12.701096,20.025822,7.783255,8.823161,9.021128
"ENSOMYG00000061544","",1.660106,1.12127,0.751921,0.805735,0.984211,1.517733,0,0.721176,0,0,0,0.750565
"ENSOMYG00000061545","U2",0,0.506834,0.061779,0.137181,0,0.127747,0.055498,0,0,0,0,0
"ENSOMYG00000061546","5_8S_rRNA",0.929586,1.747971,1.121347,0.796266,0.933847,0.939935,0,0,0,0,0.157296,0
"ENSOMYG00000061554","",0.607876,1.12016,0.644997,0.83304,0.726724,0.905731,0.055782,0.209652,0.117396,0.078717,0.046259,0.046259
"ENSOMYG00000061563","",0.447987,2.992302,2.62818,0.693023,0.204031,1.190012,0.147493,0.09882,0.033759,0.147493,0,0.104425
"ENSOMYG00000061566","",0.619968,0,0.558984,0.025707,0.563752,1.410534,0,0.128535,0,0.017481,0,0
"ENSOMYG00000061568","",0.645479,0.593973,1.284932,0.45863,0.70137,0.683836,0.193425,0,0.105753,0.554521,0.765479,0.259178
"ENSOMYG00000061570","usf1",0,1.6668,13.020672,0.300235,0.565762,2.542001,0.388182,0.616465,0.916491,0.763562,0.967343,1.161026
"ENSOMYG00000061576","",4.252655,7.925381,4.068083,3.496247,4.064713,20.789352,4.634594,5.597195,13.162463,6.404498,4.853052,5.245918
"ENSOMYG00000061584","",13.828431,39.416668,15.946078,28.887255,21.911764,81.745094,0,5.867647,11.632353,7,9.308824,10.789216
"ENSOMYG00000061586","",1.738095,0,3.714286,0,3.680272,8.278912,0,0,0,0,1.340136,0
"ENSOMYG00000061592","",0.294929,0.135286,0.210353,0.236894,0.441861,0.123307,0.0522,0.039189,0.118293,0.006633,0.045694,0.016265
"ENSOMYG00000061595","U1",2.142682,5.839017,4.445117,3.041865,4.61829,8.848797,0,0,0,0,0,0
"ENSOMYG00000061599","",0.120268,0.75134,0.045041,0.283316,18.827322,0.863837,0.11023,0.09211,0.150346,0,0.36816,0.335317
"ENSOMYG00000061601","",0.685666,0.368567,0.486879,0.711983,0.743517,0.37426,0.761765,0.516721,0.489184,0.088615,0,0.181845
"ENSOMYG00000061602","",1.601689,2.29627,1.654469,7.380014,2.942998,4.142153,0.770584,2.641802,2.938776,0,1.006334,0
"ENSOMYG00000061606","",2.94554,2.20654,8.362516,0.265977,0,0.572992,0,0,0.197088,0,0,0
"ENSOMYG00000061607","",0.693454,0.773094,1.421824,0.797513,0.837238,1.040383,1.095363,1.997343,1.147552,0.662282,0.846122,0.665655
"ENSOMYG00000061608","",0.774683,1.286983,1.404724,0.753294,2.562438,0.909631,0.151427,0.071779,0.293805,0,0.088495,0
"ENSOMYG00000061612","",0.743818,1.019386,1.093322,1.394349,0.91957,1.669868,0.126507,0,0.044111,0.12186,0.162017,0.058952
"ENSOMYG00000061613","SNORD58",20.085714,17.828571,26.042856,11.385715,23.542856,15.857142,2,7.228571,8.742857,3.157143,4.714286,4.371428
"ENSOMYG00000061615","",0.098422,0.976428,0.078304,0.521303,0.106904,0.343934,0.109467,0,0.116568,0,0,0.079093
"ENSOMYG00000061616","",2.50416,2.033273,2.84495,2.928864,1.993426,3.283067,0,0,0.123972,0.021834,0.041339,0.043671
"ENSOMYG00000061618","",0.2493,0.401761,0.060024,0.117647,0.326331,0.030012,0,0,0,0,0,0
"ENSOMYG00000061620","",1.00919,1.661042,1.075184,1.146199,0.775235,0.735537,0.069127,0.115302,0.219586,0.042706,0.039704,0.051611
"ENSOMYG00000061626","",461.454742,896.829834,839.919128,849.958374,707.595947,2173.724854,11.878068,15.204518,32.299507,12.550725,10.324126,11.918522
"ENSOMYG00000061627","",1.862966,1.408671,5.734571,0.524691,0,0.617284,0,0,0,0,0,0
"ENSOMYG00000061628","",0.481815,0.59171,0.259325,0.383345,0.429549,0.562946,0.043,0.076679,0.243379,0.086943,0.062649,0.029441
"ENSOMYG00000061634","",9.016055,24.546446,14.798435,29.920759,22.069365,11.805884,4.713794,4.212476,4.204691,2.661693,3.218177,2.479296
"ENSOMYG00000061636","",0.079685,0.029586,0.285404,0.320118,0.122486,0.088758,0,0,0,0,0,0
"ENSOMYG00000061637","",4.901792,3.72526,6.741614,0.964583,3.027825,2.989837,0.05361,0.03541,0.127039,0.007913,0,0.081059
"ENSOMYG00000061640","",3.128307,2.117255,3.523252,5.242929,7.178108,5.930472,0,2.534102,1.835697,0.392295,0.768695,0.588987
"ENSOMYG00000061645","",0.994612,1.131286,1.635815,1.500301,4.217683,1.688089,0.094246,0.063988,0.569198,0.0687,0.184325,0.459674
"ENSOMYG00000061651","",0.984269,1.439763,0.823047,1.058161,0.579723,1.401681,0.154105,0.073788,0.368349,0.186151,0.358358,0.298516
"ENSOMYG00000061652","",0.616549,0.506285,0.367832,0.454844,0.604024,0.32651,0.068056,0.031469,0.025024,0.03684,0.026793,0.018957
"ENSOMYG00000061656","cfap20",6.696751,17.996992,17.286402,1.770156,8.602888,3.306859,1.800241,0,3.919374,3.684717,5.986763,6.112515
"ENSOMYG00000061662","",0.286822,0.28876,1.352713,0,0,0.120155,0,0,3.003876,0.810078,0.744186,1.697674
"ENSOMYG00000061669","",0.085427,0.045465,0.398508,0.303338,0.376129,0.364193,0,0,0,0,0,0
"ENSOMYG00000061670","",1.18113,0.9202,1.516047,0.585293,0.501473,0.94,0.029412,0.029412,0.102941,0.088235,0,0
"ENSOMYG00000061674","",0.479641,0.335137,0.731623,0.054054,0.054055,0.852607,0,0.198648,0,0,0.04973,0
"ENSOMYG00000061677","",0.308086,0.742597,0.5831,0.136829,1.368769,0.425917,0.205143,0.698618,0.784805,0.058955,1.396788,0.108018
"ENSOMYG00000061678","adamtsl4",0.048759,0.088938,0.04881,0.105267,0,0.017984,0,0,0,0,0,0.128774
"ENSOMYG00000061680","5_8S_rRNA",9.636364,14.048701,13.331169,11.204546,9.966721,13.123377,0,1,0.372728,0.586597,0,0
"ENSOMYG00000061683","",4.267565,4.518552,3.348731,6.134266,19.539494,5.056493,1.427889,1.755965,1.889966,0.587204,0.414029,0.480528
"ENSOMYG00000061687","",0.617193,0.445703,0.359229,0.474418,0.317879,0.353952,0.006001,0.080806,0.131936,0.077682,0.007152,0.024497
"ENSOMYG00000061689","",861.385132,2395.738281,1071.615356,1243.412109,745.235962,1133.546021,583.677856,625.802734,894.564636,1235.604492,1199.865234,1242.802124
"ENSOMYG00000061692","",0.519023,0.77501,0.774318,1.723691,0.475175,1.176848,0.029674,0.077151,0,0,0.05915,0
"ENSOMYG00000061694","U3",2.272379,3.414352,19.981129,4.305548,4.983408,7.68287,0.997685,0,1.03125,0,0,0
"ENSOMYG00000061695","",0.577401,0.463868,0.438254,0.366646,0.210056,0.341063,0.03203,0.018498,0.120579,0.024271,0.03205,0.037244
"ENSOMYG00000061699","",3.530964,1.676931,1.837701,3.776078,0.864522,1.822759,2.595859,1.992611,3.078993,4.568539,4.480353,3.452239
"ENSOMYG00000061706","",0.930736,1.282467,1.216964,0.959414,0.076299,0.182122,0,0.086658,0,0,0.070346,0.085408
"ENSOMYG00000061707","",0.0736,0.230789,0.601687,0.161172,0.030533,0.015263,0,0.021693,0,0,0.024216,0.021164
"ENSOMYG00000061708","",4.998921,0.463078,0.165089,0,0.013265,0,0,0,0.594667,0,0,0
"ENSOMYG00000061710","",1.005924,2.668405,3.703001,0,3.509874,3.416272,0.845182,1.414692,0,0.222749,0.85466,0
"ENSOMYG00000061711","",0.891409,0.457541,0.751199,0.404148,0.599515,1.090883,0,0,0.023817,0,0,0
"ENSOMYG00000061719","",0.623049,0.389221,0.734519,1.58757,2.140655,1.500693,0.13729,1.080517,0.312562,0,0,0
"ENSOMYG00000061722","",1.597772,3.630905,1.352824,1.433474,1.172852,7.144761,1.899487,3.141755,5.529756,2.983664,2.553954,2.042023
"ENSOMYG00000061728","",0.502341,0.402341,0.252676,0.859365,0.247157,0.949833,0.091304,0,0.432107,0.085953,0,0
"ENSOMYG00000061729","",0.044821,0.19409,0.125531,0,0.058322,0,0,0,0,0,0,0.040671
"ENSOMYG00000061730","",0.896088,0.976018,1.299508,1.020783,0.882218,1.005613,0.050848,0.03055,0.066361,0.025526,0.077427,0.063498
"ENSOMYG00000061732","",0.09382,0.078711,0.095087,0.026061,0.154253,0.015848,0.08505,0,0.023561,0,0,0.264131
"ENSOMYG00000061736","",0.5749,0.373172,0.372152,0.262482,0.553171,0.215367,0.135529,0.223065,0.342723,0.272276,0.465183,0.316091
"ENSOMYG00000061737","",0.759758,0.820769,1.671425,0.61187,0.616088,0.580018,0.059347,0,0.045895,0.043324,0.167556,0.152917
"ENSOMYG00000061738","U2",0,0.551837,0.280629,0.741363,0.277487,0.868062,0,0,0,0,0,0
"ENSOMYG00000061743","",1.69731,1.809279,1.31312,1.297162,1.956797,0.713381,2.397245,2.16897,3.369723,1.191024,0.635112,1.471282
"ENSOMYG00000061745","",0.769798,0.529226,0.804637,0.838655,0.644714,0.904048,0.039554,0.042136,0.041197,0,0,0
"ENSOMYG00000061746","Metazoa_SRP",93597.09375,97475.898438,108729.984375,154056.796875,144803.34375,157761.359375,21.007772,26.219841,74.100266,28.976673,24.402847,12.661531
"ENSOMYG00000061748","",5.141459,5.111909,1.777297,2.82779,5.084347,4.624804,1.660957,1.024255,1.913639,0.118694,0.35872,0.39888
"ENSOMYG00000061751","",17830.513672,10546.336914,31988.646484,25082.580078,25096.453125,49758.253906,10.695621,12.512224,30.351852,12.672759,9.921707,12.897151
"ENSOMYG00000061757","",2.686647,3.98614,1.177642,1.228079,0.507151,0.632365,0.181713,0.265529,0.817599,0.18941,0.162875,0.244051
"ENSOMYG00000061759","",0.4903,0.304414,0.35713,0.296246,0.094171,0.133216,0,0,0,0.003459,0,0.033572
"ENSOMYG00000061762","",0.506031,0.90496,0.547112,0.636049,0.285419,0.449738,0.0857,0.172358,0.099378,0.023338,0.051841,0
"ENSOMYG00000061769","",0.051136,0.280319,0.236302,0.219516,0.745463,0.345777,0.267629,0.572885,0.606023,0.06255,0.003261,0.074017
"ENSOMYG00000061771","",1.415018,1.323751,1.194689,0.068757,0.565884,0.419665,0.029499,0,0.104621,0.029187,0.029499,0
"ENSOMYG00000061775","",0.798038,0.469907,0.55189,0.4284,0.896156,0.99153,0,0,0,0.009524,0,0.01006
"ENSOMYG00000061776","",3.717287,4.016052,12.477753,1.275931,0.369134,0.811727,0,0,0,0,0,0
"ENSOMYG00000061778","",29.281647,29.175131,7.384788,4.888165,0.629047,13.615944,3.092029,0.998551,0.928261,4.174638,3.560869,0.984783
"ENSOMYG00000061779","",0.439403,0.345802,0.123895,0.028437,0.261382,1.545375,0,0.076705,0,0.120265,0,0.071023
"ENSOMYG00000061780","",0.038348,0.020256,0.046657,0,0.109538,0.108948,0,0.051622,0,0.029744,0,0
"ENSOMYG00000061781","",0.075334,0.032435,0.007223,0,0.014085,0.220633,0,0,0,0,0,0
"ENSOMYG00000061782","",1.485028,1.383696,1.28468,0.711239,0.506999,0.493206,0.166143,0.176197,0.390559,0.093061,0.302374,0.111502
"ENSOMYG00000061786","",0.629371,2.88115,0.779347,0,0,0.711641,0,0,0,0,0,0.113005
"ENSOMYG00000061793","",0.343575,0.333333,0.793296,0.977654,0.759777,1.081937,0,0,0,0,0,0
"ENSOMYG00000061796","",21.810991,37.835644,20.14543,20.482903,21.812016,114.185577,23.969488,27.867043,66.890862,32.166447,24.312237,28.439119
"ENSOMYG00000061797","",0.255165,0.171539,0.453803,0.276545,0.51797,0.332818,0,0.072125,0,0,0,0.038986
"ENSOMYG00000061799","mturn",1.212487,1.906502,1.326948,1.588943,0,1.873313,0.154242,0.376359,0.232984,0.469781,0.114395,0.472831
