"Gene_ID","Gene_Symbol","SRR27553658","SRR27553659","SRR27553660","SRR27553661","SRR27553662","SRR27553663","SRR27553664","SRR27553665","SRR27553666","SRR25482874","SRR25482875","SRR25482876","SRR25482877","SRR25482878","SRR25482879","SRR25482880","SRR25482881"
"ENSOMYG00000033651","",3.994821,0.926554,4.037665,3.9242,11.903249,2.636535,9.28225,13.70904,12.952919,221.992233,172.795288,294.936096,338.278961,355.075226,313.422729,266.406769,259.5784
"ENSOMYG00000033658","",0.955242,0.751237,0.920539,0.583689,0.62149,0.956877,1.799179,0.823485,0.439402,0.892886,0.819337,2.099063,1.489195,2.175006,0.791975,1.171982,0.92223
"ENSOMYG00000033666","",0.976328,0.734485,0.801344,0.743122,0.460653,0.586692,1.127639,0.458733,0.37588,0.422265,0.762316,1.588292,1.050224,1.896993,0.582534,1.119962,0.835253
"ENSOMYG00000033667","",2.813047,1.305489,2.793158,1.000398,2.199682,3.615354,3.799523,2.190931,1.4821,15.42323,14.893397,30.321798,29.129015,37.342083,19.205648,22.131065,21.98568
"ENSOMYG00000033668","",0.769165,1.11714,0.715762,1.399655,0.989664,0.476314,0.258398,1.465978,0.339363,0.773471,0.963824,5.49354,1.658053,2.099914,1.861326,2.943152,0.568475
"ENSOMYG00000033671","zgc:56106",111.532127,96.379517,117.155624,91.065262,92.700806,92.873497,138.459839,122.094376,106.040161,18.092369,15.782128,21.120481,30.451807,18.491968,13.41767,20.465864,15.042169
"ENSOMYG00000033673","",1.527391,2.299872,2.022999,1.381528,1.605326,1.530625,2.971877,2.501861,2.380918,4.606515,4.20812,15.297707,15.075616,16.466356,6.183443,4.785993,3.745699
"ENSOMYG00000033676","MCAT",0.881612,1.329975,2.607893,1.816961,1.485307,0.811923,0.455919,2.302267,1.56927,1.628044,0.877414,3.439127,1.993283,6.359362,2,1.078925,1.962217
"ENSOMYG00000033690","tmem41b",11.729497,10.260582,11.260582,9.247355,5.680555,8.482804,11.175595,12.486773,6.28373,4.354497,6.850529,8.706349,8.888227,10.048281,4.926587,4.79828,3.86045
"ENSOMYG00000033699","itpka",8.22912,3.276423,7.235772,3.073171,4.461197,2.566149,7.484848,5.27051,4.211382,1.156689,0.731707,2.005174,1.732446,1.331116,1.398374,0.801922,0
"ENSOMYG00000033705","foxp1a",16.798113,18.407642,22.30283,14.643208,23.178867,18.314716,19.264528,21.59132,18.521132,9.623207,9.998868,26.331133,24.53717,26.178303,20.692076,15.245661,16.730377
"ENSOMYG00000033709","lyrm5a",81.604477,53.663246,86.774254,51.860073,77.793373,64.805969,79.447762,117.718285,81.8806,30.227612,19.411381,39.721081,35.392723,32.102612,22.031717,32.523319,27.138527
"ENSOMYG00000033716","lyrm5a",11.595194,15.421442,11.92976,10.377079,15.961183,10.789279,16.295748,13.151571,15.987061,101.337364,97.85582,130.316086,164.093353,144.173538,104.789276,131.218872,99.761551
"ENSOMYG00000033718","",1.027778,1.417696,1.140947,1.697788,1.934671,1.532665,3.377572,3.307099,1.261831,1.520833,2.095165,2.122171,2.711934,1.768261,1.65535,1.636831,2.681327
"ENSOMYG00000033720","",0,0,0.090441,0,0.056048,0.114706,0.069444,0.384095,0.042811,0.350354,0,0.233987,0.461191,0.736986,0.303266,0.281195,0.348815
"ENSOMYG00000033721","",0.443787,0.147929,1.498425,0.015779,0.784221,0.114398,0.514793,0.326627,0.461538,0.199211,0.390384,3.654652,2.507101,5.214403,0.437674,0.395463,0.832347
"ENSOMYG00000033722","dram2b",1.152454,0.682598,0.754293,0.94821,0.73107,1.001615,1.265612,0.730754,1.948337,0.621921,1.210339,2.546262,2.423882,1.457332,17.376732,0.408498,0.443072
"ENSOMYG00000033723","exorh",0.904446,0.456311,0.963209,0.306592,0.592744,0.552376,1.038324,1.10373,0.425141,0.48186,0.970363,1.452223,2.31068,3.419009,0.94277,0.377619,0.325498
"ENSOMYG00000033725","ppp4r2a",0,0.082652,0.098507,0,0.110722,0,0.035636,0,0.031844,0.017656,0.316092,0.125172,0.453142,0.983404,0.074337,0.049551,0.574778
